connections,concurrency,number of messages,size in bytes,Average Latency in us
32,64,4,4,16
32,64,4,8,5
32,64,4,16,4
32,64,4,32,4
32,64,4,64,4
32,64,4,128,4
32,64,4,256,16
32,64,4,512,17
32,64,4,1024,24
32,64,4,2048,29
32,64,4,4096,33
32,64,4,8192,267
32,64,4,16384,83
32,64,4,32768,272
32,64,4,65536,246
32,64,4,131072,648
32,64,4,262144,1479
32,64,4,524288,2487
32,64,4,1048576,4747
32,128,4,2,16
32,128,4,4,7
32,128,4,8,7
32,128,4,16,24
32,128,4,32,24
32,128,4,64,22
32,128,4,128,19
32,128,4,256,21
32,128,4,512,23
32,128,4,1024,23
32,128,4,2048,8768
32,128,4,4096,2174
32,128,4,8192,1454
32,128,4,16384,1114
32,128,4,32768,945
32,128,4,65536,1277
32,128,4,131072,2272
32,128,4,262144,2033
32,128,4,524288,7159
32,128,4,1048576,4233
32,256,4,2,26
32,256,4,4,5
32,256,4,8,6
32,256,4,16,5
32,256,4,32,6
32,256,4,64,6
32,256,4,128,5
32,256,4,256,5
32,256,4,512,6
32,256,4,1024,134
32,256,4,2048,179
32,256,4,4096,211
32,256,4,8192,213
32,256,4,16384,607
32,256,4,32768,188
32,256,4,65536,248
32,256,4,131072,486
32,256,4,262144,2957
32,256,4,524288,2047
32,256,4,1048576,3698
32,512,4,2,25
32,512,4,4,20
32,512,4,8,21
32,512,4,16,21
32,512,4,32,952
32,512,4,64,26
32,512,4,128,16
32,512,4,256,13
32,512,4,512,22
32,512,4,1024,353
32,512,4,2048,410
32,512,4,4096,169
32,512,4,8192,150
32,512,4,16384,198
32,512,4,32768,309
32,512,4,65536,277
32,512,4,131072,489
32,512,4,262144,1790
32,512,4,524288,2656
32,512,4,1048576,6058
32,1,8,2,4
32,1,8,4,3
32,1,8,8,4
32,1,8,16,4
32,1,8,32,4
32,1,8,64,3
32,1,8,128,40
32,1,8,256,5
32,1,8,512,6
32,1,8,1024,10
32,1,8,2048,9
32,1,8,4096,14
32,1,8,8192,97
32,1,8,16384,162
32,1,8,32768,890
32,1,8,65536,702
32,1,8,131072,1331
32,1,8,262144,3613
32,1,8,524288,4925
32,1,8,1048576,9161
32,2,8,2,30
32,2,8,4,22
32,2,8,8,20
32,2,8,16,21
32,2,8,32,21
32,2,8,64,22
32,2,8,128,27
32,2,8,256,22
32,2,8,512,23
32,2,8,1024,24
32,2,8,2048,26
32,2,8,4096,31
32,2,8,8192,44
32,2,8,16384,55
32,2,8,32768,453
32,2,8,65536,326
32,2,8,131072,817
32,2,8,262144,1553
32,2,8,524288,3346
32,2,8,1048576,9542
32,4,8,2,25
32,4,8,4,20
32,4,8,8,21
32,4,8,16,20
32,4,8,32,19
32,4,8,64,26
32,4,8,128,22
32,4,8,256,20
32,4,8,512,22
32,4,8,1024,22
32,4,8,2048,24
32,4,8,4096,25
32,4,8,8192,40
32,4,8,16384,64
32,4,8,32768,433
32,4,8,65536,328
32,4,8,131072,839
32,4,8,262144,1194
32,4,8,524288,2787
32,4,8,1048576,4195
32,8,8,2,10
32,8,8,4,6
32,8,8,8,9
32,8,8,16,6
32,8,8,32,6
32,8,8,64,6
32,8,8,128,20
32,8,8,256,26
32,8,8,512,18
32,8,8,1024,16
32,8,8,2048,22
32,8,8,4096,34
32,8,8,8192,32
32,8,8,16384,393
32,8,8,32768,655
32,8,8,65536,848
32,8,8,131072,532
32,8,8,262144,1262
32,8,8,524288,1711
32,8,8,1048576,6340
32,16,8,2,26
32,16,8,4,31
32,16,8,8,19
32,16,8,16,21
32,16,8,32,21
32,16,8,64,24
32,16,8,128,25
32,16,8,256,21
32,16,8,512,23
32,16,8,1024,26
32,16,8,2048,33
32,16,8,4096,34
32,16,8,8192,251
32,16,8,16384,528
32,16,8,32768,193
32,16,8,65536,436
32,16,8,131072,436
32,16,8,262144,1130
32,16,8,524288,2084
32,16,8,1048576,3765
32,32,8,2,28
32,32,8,4,17
32,32,8,8,5
32,32,8,16,6
32,32,8,32,6
32,32,8,64,7
32,32,8,128,10
32,32,8,256,6
32,32,8,512,6
32,32,8,1024,8
32,32,8,2048,11
32,32,8,4096,202
32,32,8,8192,88
32,32,8,16384,255
32,32,8,32768,213
32,32,8,65536,316
32,32,8,131072,391
32,32,8,262144,937
32,32,8,524288,1681
32,32,8,1048576,3795
32,64,8,2,24
32,64,8,4,22
32,64,8,8,19
32,64,8,16,6
32,64,8,32,5
32,64,8,64,5
32,64,8,128,6
32,64,8,256,6
32,64,8,512,6
32,64,8,1024,8
32,64,8,2048,274
32,64,8,4096,413
32,64,8,8192,3519
32,64,8,16384,409
32,64,8,32768,451
32,64,8,65536,542
32,64,8,131072,791
32,64,8,262144,947
32,64,8,524288,2257
32,64,8,1048576,4676
32,128,8,2,11
32,128,8,4,15
32,128,8,8,24
32,128,8,16,16
32,128,8,32,5
32,128,8,64,11
32,128,8,128,14
32,128,8,256,6
32,128,8,512,7
32,128,8,1024,285
32,128,8,2048,68
32,128,8,4096,238
32,128,8,8192,2691
32,128,8,16384,193
32,128,8,32768,208
32,128,8,65536,260
32,128,8,131072,573
32,128,8,262144,776
32,128,8,524288,1769
32,128,8,1048576,5969
32,256,8,2,8
32,256,8,4,14
32,256,8,8,10
32,256,8,16,5
32,256,8,32,5
32,256,8,64,4
32,256,8,128,4
32,256,8,256,5
32,256,8,512,122
32,256,8,1024,90
32,256,8,2048,177
32,256,8,4096,171
32,256,8,8192,172
32,256,8,16384,293
32,256,8,32768,199
32,256,8,65536,253
32,256,8,131072,476
32,256,8,262144,2138
32,256,8,524288,3119
32,256,8,1048576,6055
32,512,8,2,23
32,512,8,4,7
32,512,8,8,3
32,512,8,16,7
32,512,8,32,14
32,512,8,64,4
32,512,8,128,53
32,512,8,256,132
32,512,8,512,85
32,512,8,1024,821
32,512,8,2048,207
32,512,8,4096,383
32,512,8,8192,196
32,512,8,16384,300
32,512,8,32768,1125
32,512,8,65536,243
32,512,8,131072,437
32,512,8,262144,1218
32,512,8,524288,2370
32,512,8,1048576,4326
32,1,16,2,66
32,1,16,4,2
32,1,16,8,2
32,1,16,16,3
32,1,16,32,3
32,1,16,64,3
32,1,16,128,3
32,1,16,256,3
32,1,16,512,5
32,1,16,1024,6
32,1,16,2048,11
32,1,16,4096,9
32,1,16,8192,16
32,1,16,16384,174
32,1,16,32768,329
32,1,16,65536,653
32,1,16,131072,1449
32,1,16,262144,3026
32,1,16,524288,5831
32,1,16,1048576,10849
32,2,16,2,31
32,2,16,4,41
32,2,16,8,8
32,2,16,16,23
32,2,16,32,25
32,2,16,64,30
32,2,16,128,27
32,2,16,256,24
32,2,16,512,23
32,2,16,1024,26
32,2,16,2048,30
32,2,16,4096,32
32,2,16,8192,39
32,2,16,16384,59
32,2,16,32768,259
32,2,16,65536,390
32,2,16,131072,796
32,2,16,262144,1577
