connections,concurrency,number of messages,size in bytes,Average Latency in us
32,16,32,16384,111
32,16,32,32768,160
32,16,32,65536,385
32,16,32,131072,566
32,16,32,262144,874
32,16,32,524288,2135
32,16,32,1048576,7165
32,32,32,2,15
32,32,32,4,23
32,32,32,8,22
32,32,32,16,19
32,32,32,32,15
32,32,32,64,17
32,32,32,128,17
32,32,32,256,63
32,32,32,512,23
32,32,32,1024,340
32,32,32,2048,171
32,32,32,4096,270
32,32,32,8192,321
32,32,32,16384,997
32,32,32,32768,999
32,32,32,65536,440
32,32,32,131072,420
32,32,32,262144,924
32,32,32,524288,3159
32,32,32,1048576,3755
32,64,32,2,9
32,64,32,4,6
32,64,32,8,5
32,64,32,16,5
32,64,32,32,4
32,64,32,64,4
32,64,32,128,21
32,64,32,256,21
32,64,32,512,23
32,64,32,1024,87
32,64,32,2048,74
32,64,32,4096,89
32,64,32,8192,123
32,64,32,16384,166
32,64,32,32768,154
32,64,32,65536,1012
32,64,32,131072,493
32,64,32,262144,1004
32,64,32,524288,1720
32,64,32,1048576,4876
32,128,32,2,25
32,128,32,4,29
32,128,32,8,9
32,128,32,16,5
32,128,32,32,9
32,128,32,64,44
32,128,32,128,22
32,128,32,256,102
32,128,32,512,80
32,128,32,1024,129
32,128,32,2048,96
32,128,32,4096,87
32,128,32,8192,200
32,128,32,16384,248
32,128,32,32768,187
32,128,32,65536,323
32,128,32,131072,996
32,128,32,262144,871
32,128,32,524288,1968
32,128,32,1048576,4417
32,256,32,2,17
32,256,32,4,170
32,256,32,8,35
32,256,32,16,11
32,256,32,32,27
32,256,32,64,30
32,256,32,128,18
32,256,32,256,30
32,256,32,512,44
32,256,32,1024,55
32,256,32,2048,61
32,256,32,4096,55
32,256,32,8192,65
32,256,32,16384,82
32,256,32,32768,131
32,256,32,65536,489
32,256,32,131072,436
32,256,32,262144,1037
32,256,32,524288,2118
32,256,32,1048576,4086
32,512,32,2,13
32,512,32,4,13
32,512,32,8,12
32,512,32,16,11
32,512,32,32,123
32,512,32,64,29
32,512,32,128,29
32,512,32,256,31
32,512,32,512,38
32,512,32,1024,35
32,512,32,2048,46
32,512,32,4096,44
32,512,32,8192,46
32,512,32,16384,212
32,512,32,32768,146
32,512,32,65536,226
32,512,32,131072,646
32,512,32,262144,922
32,512,32,524288,2228
32,512,32,1048576,4276
32,1,64,2,3
32,1,64,4,3
32,1,64,8,3
32,1,64,16,3
32,1,64,32,2
32,1,64,64,2
32,1,64,128,3
32,1,64,256,3
32,1,64,512,4
32,1,64,1024,5
32,1,64,2048,7
32,1,64,4096,34
32,1,64,8192,101
32,1,64,16384,202
32,1,64,32768,1179
32,1,64,65536,766
32,1,64,131072,1567
32,1,64,262144,1690
32,1,64,524288,4301
32,1,64,1048576,10931
32,2,64,2,21
32,2,64,4,20
32,2,64,8,20
32,2,64,16,20
32,2,64,32,22
32,2,64,64,20
32,2,64,128,21
32,2,64,256,21
32,2,64,512,22
32,2,64,1024,22
32,2,64,2048,277
32,2,64,4096,196
32,2,64,8192,385
32,2,64,16384,105
32,2,64,32768,211
32,2,64,65536,366
32,2,64,131072,1133
32,2,64,262144,1885
32,2,64,524288,8836
32,2,64,1048576,6090
32,4,64,2,18
32,4,64,4,20
32,4,64,8,20
32,4,64,16,20
32,4,64,32,22
32,4,64,64,18
32,4,64,128,24
32,4,64,256,23
32,4,64,512,20
32,4,64,1024,84
32,4,64,2048,131
32,4,64,4096,177
32,4,64,8192,813
32,4,64,16384,740
32,4,64,32768,1053
32,4,64,65536,2097
32,4,64,131072,43660
32,4,64,262144,59719
32,4,64,524288,135185
32,4,64,1048576,6067
32,8,64,2,20
32,8,64,4,18
32,8,64,8,18
32,8,64,16,18
32,8,64,32,16
32,8,64,64,15
32,8,64,128,15
32,8,64,256,15
32,8,64,512,2087
32,8,64,1024,27
32,8,64,2048,75
32,8,64,4096,34
32,8,64,8192,54
32,8,64,16384,1514
32,8,64,32768,126
32,8,64,65536,514
32,8,64,131072,740
32,8,64,262144,929
32,8,64,524288,1824
32,8,64,1048576,4291
32,16,64,2,21
32,16,64,4,6
32,16,64,8,24
32,16,64,16,23
32,16,64,32,10
32,16,64,64,5
32,16,64,128,5
32,16,64,256,21
32,16,64,512,153
32,16,64,1024,171
32,16,64,2048,154
